DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
137.369,0.01,0.025,0.0175,1,10,137,2
137.369,0.025,0.05,0.037500000000000006,1,2,137,3
153.962,0.004,0.01,0.007,1,34,138,1
153.962,0.01,0.025,0.0175,1,5,138,2
153.962,0.025,0.05,0.037500000000000006,1,1,138,3
158.864,0.004,0.01,0.007,1,29,139,1
158.864,0.01,0.025,0.0175,1,7,139,2
158.864,0.025,0.05,0.037500000000000006,1,0,139,3
161.353,0.004,0.01,0.007,1,29,140,1
161.353,0.01,0.025,0.0175,1,8,140,2
161.353,0.025,0.05,0.037500000000000006,1,1,140,3
166.002,0.004,0.01,0.007,1,30,141,1
166.002,0.01,0.025,0.0175,1,8,141,2
166.002,0.025,0.05,0.037500000000000006,1,0,141,3
5.044,0.004,0.01,0.007,2,76,142,1
5.044,0.01,0.025,0.0175,2,24,142,2
5.044,0.025,0.05,0.037500000000000006,2,7,142,3
7.526,0.004,0.01,0.007,1,32,143,1
7.526,0.01,0.025,0.0175,1,9,143,2
7.526,0.025,0.05,0.037500000000000006,1,3,143,3
9.991,0.004,0.01,0.007,1,42,144,1
9.991,0.01,0.025,0.0175,1,7,144,2
9.991,0.025,0.05,0.037500000000000006,1,1,144,3
12.48,0.004,0.01,0.007,1,33,145,1
12.48,0.01,0.025,0.0175,1,13,145,2
12.48,0.025,0.05,0.037500000000000006,1,2,145,3
14.95,0.004,0.01,0.007,1,48,146,1
14.95,0.01,0.025,0.0175,1,14,146,2
14.95,0.025,0.05,0.037500000000000006,1,3,146,3
19.663,0.004,0.01,0.007,1,44,147,1
19.663,0.01,0.025,0.0175,1,11,147,2
19.663,0.025,0.05,0.037500000000000006,1,3,147,3
21.435,0.004,0.01,0.007,1,55,148,1
21.435,0.01,0.025,0.0175,1,11,148,2
21.435,0.025,0.05,0.037500000000000006,1,5,148,3
23.968,0.004,0.01,0.007,1,30,149,1
